alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target
12.41 ,2.06 ,2.44 ,20.33 ,81.05 ,2.23 ,1.57 ,0.30 ,1.58 ,3.35 ,1.29 ,3.06 ,669.51 ,1
13.40 ,1.82 ,2.67 ,18.18 ,103.16 ,2.62 ,2.95 ,-0.04 ,2.18 ,5.36 ,1.51 ,3.77 ,1370.03 ,0
13.96 ,1.16 ,2.60 ,20.02 ,144.85 ,2.91 ,2.46 ,0.53 ,1.62 ,5.16 ,1.30 ,3.19 ,1339.30 ,0
13.61 ,2.39 ,2.16 ,22.63 ,81.88 ,1.63 ,1.71 ,0.33 ,1.56 ,2.53 ,1.17 ,2.78 ,297.13 ,1
11.80 ,3.73 ,2.30 ,18.23 ,101.46 ,3.12 ,3.10 ,-0.14 ,3.05 ,3.21 ,0.87 ,2.49 ,613.34 ,1
11.40 ,1.80 ,1.62 ,18.90 ,92.28 ,2.38 ,1.31 ,0.65 ,1.21 ,1.93 ,1.15 ,2.07 ,408.75 ,1
12.00 ,3.49 ,2.71 ,20.83 ,103.72 ,1.75 ,1.04 ,0.40 ,1.15 ,4.42 ,0.81 ,1.06 ,575.67 ,2
12.05 ,0.62 ,2.41 ,19.13 ,87.99 ,2.22 ,2.04 ,0.79 ,1.31 ,2.70 ,1.30 ,2.36 ,442.01 ,1
11.74 ,2.26 ,2.34 ,23.53 ,99.81 ,1.02 ,1.19 ,-0.02 ,1.26 ,5.20 ,0.68 ,1.03 ,568.38 ,2
13.69 ,4.12 ,2.42 ,20.43 ,106.86 ,2.44 ,2.51 ,0.36 ,2.17 ,4.80 ,0.84 ,3.94 ,842.25 ,0
12.93 ,2.21 ,2.74 ,21.31 ,94.07 ,3.03 ,2.73 ,-0.04 ,1.94 ,4.54 ,1.23 ,3.55 ,956.17 ,0
13.46 ,2.74 ,2.73 ,22.41 ,115.26 ,1.65 ,0.87 ,0.10 ,1.94 ,7.70 ,1.23 ,1.76 ,700.77 ,2
14.20 ,1.36 ,2.37 ,17.23 ,97.30 ,1.99 ,2.02 ,0.29 ,1.17 ,4.49 ,0.90 ,2.67 ,1285.78 ,0
11.79 ,1.62 ,2.24 ,22.78 ,84.42 ,1.35 ,1.62 ,0.77 ,1.81 ,3.36 ,1.21 ,2.03 ,453.61 ,1
12.39 ,1.63 ,2.23 ,22.91 ,96.42 ,1.69 ,1.83 ,0.36 ,1.58 ,2.48 ,1.44 ,1.99 ,487.69 ,1
12.40 ,2.06 ,2.45 ,20.38 ,81.04 ,2.22 ,1.57 ,0.30 ,1.59 ,3.42 ,1.29 ,3.05 ,683.74 ,1
13.25 ,1.86 ,2.90 ,24.57 ,89.94 ,1.79 ,1.59 ,0.68 ,1.87 ,2.99 ,1.68 ,2.04 ,459.97 ,1
13.15 ,2.02 ,2.48 ,17.56 ,135.03 ,3.65 ,2.78 ,0.08 ,2.29 ,5.69 ,1.00 ,3.47 ,746.82 ,0
11.78 ,4.19 ,2.56 ,23.88 ,85.49 ,2.03 ,2.09 ,0.46 ,0.99 ,2.36 ,1.10 ,2.64 ,614.54 ,1
12.87 ,1.57 ,2.61 ,20.86 ,99.88 ,3.01 ,2.72 ,0.13 ,2.25 ,6.53 ,1.33 ,2.41 ,962.62 ,0
13.05 ,2.75 ,2.43 ,23.91 ,97.81 ,1.85 ,1.00 ,0.46 ,1.60 ,8.77 ,0.85 ,1.96 ,704.33 ,2
11.41 ,0.71 ,1.73 ,10.52 ,79.77 ,2.09 ,0.31 ,0.42 ,0.46 ,1.85 ,0.73 ,2.20 ,559.17 ,1
13.45 ,3.62 ,2.43 ,20.45 ,96.29 ,2.01 ,1.03 ,0.56 ,1.03 ,7.35 ,0.65 ,1.42 ,522.15 ,2
13.73 ,4.93 ,2.88 ,22.85 ,116.23 ,2.03 ,1.15 ,0.42 ,1.12 ,8.95 ,0.64 ,1.85 ,598.63 ,2
12.99 ,1.71 ,2.85 ,16.03 ,131.49 ,2.69 ,2.70 ,0.43 ,1.99 ,5.63 ,1.28 ,4.19 ,1089.60 ,0
14.89 ,2.01 ,2.28 ,18.08 ,107.83 ,3.10 ,3.27 ,0.46 ,2.34 ,5.61 ,1.11 ,3.15 ,1612.14 ,0
12.49 ,2.71 ,3.43 ,21.02 ,125.46 ,3.04 ,2.18 ,0.65 ,2.07 ,3.94 ,0.93 ,3.10 ,727.46 ,0
14.24 ,1.78 ,2.84 ,18.77 ,108.56 ,3.10 ,3.54 ,0.36 ,1.61 ,6.76 ,1.60 ,2.83 ,1216.25 ,0
11.73 ,2.71 ,2.62 ,21.00 ,102.74 ,1.65 ,0.82 ,0.70 ,1.09 ,5.62 ,0.92 ,2.27 ,542.80 ,2
14.02 ,0.70 ,1.71 ,15.57 ,71.38 ,3.41 ,2.75 ,-0.08 ,2.05 ,5.75 ,0.94 ,3.49 ,484.32 ,1
12.71 ,1.66 ,2.79 ,15.58 ,122.96 ,3.53 ,3.81 ,0.64 ,2.09 ,6.40 ,0.60 ,3.07 ,1448.31 ,0
13.19 ,1.52 ,2.37 ,17.30 ,97.97 ,3.21 ,3.03 ,-0.01 ,1.63 ,5.26 ,0.69 ,3.31 ,930.24 ,0
12.14 ,4.01 ,1.66 ,18.29 ,109.55 ,2.88 ,2.71 ,0.11 ,3.03 ,3.33 ,0.22 ,2.90 ,570.54 ,1
14.27 ,4.14 ,2.07 ,16.16 ,103.40 ,2.89 ,2.44 ,0.55 ,1.83 ,4.30 ,0.96 ,3.08 ,609.84 ,0
11.74 ,2.93 ,2.88 ,23.65 ,102.02 ,2.03 ,0.27 ,0.37 ,1.10 ,5.06 ,1.01 ,2.35 ,559.28 ,2
12.11 ,4.67 ,2.72 ,21.67 ,100.24 ,1.70 ,0.83 ,0.42 ,2.12 ,6.96 ,0.64 ,1.42 ,717.60 ,2
14.33 ,1.83 ,2.73 ,16.34 ,108.96 ,3.24 ,3.58 ,0.22 ,1.31 ,5.33 ,0.66 ,3.59 ,1059.48 ,0
12.68 ,4.01 ,2.39 ,23.27 ,87.51 ,2.42 ,0.47 ,0.72 ,1.24 ,9.69 ,0.19 ,1.48 ,515.16 ,2
11.47 ,1.33 ,1.99 ,17.61 ,100.68 ,2.31 ,2.48 ,0.57 ,1.94 ,2.65 ,1.06 ,3.06 ,302.62 ,1
15.13 ,1.80 ,2.16 ,14.03 ,112.12 ,3.58 ,3.04 ,0.51 ,2.27 ,7.46 ,1.19 ,2.61 ,1342.18 ,0
14.43 ,2.03 ,2.80 ,18.28 ,114.94 ,2.82 ,2.08 ,0.38 ,1.79 ,4.16 ,1.29 ,2.98 ,1024.43 ,0
11.92 ,1.88 ,1.52 ,20.61 ,89.80 ,2.60 ,1.83 ,0.46 ,1.74 ,1.74 ,1.25 ,2.26 ,448.24 ,1
13.02 ,3.43 ,2.31 ,26.04 ,96.78 ,1.58 ,0.28 ,0.77 ,1.05 ,8.01 ,0.47 ,1.65 ,910.37 ,2
13.19 ,4.45 ,2.16 ,18.93 ,94.10 ,3.03 ,2.24 ,0.32 ,1.56 ,4.73 ,0.84 ,2.99 ,677.96 ,0
13.71 ,2.33 ,2.73 ,19.82 ,93.36 ,1.01 ,0.56 ,0.24 ,0.29 ,5.10 ,0.69 ,2.39 ,769.57 ,2
14.23 ,3.73 ,2.07 ,18.93 ,91.08 ,2.10 ,2.87 ,0.32 ,2.01 ,3.72 ,1.08 ,3.42 ,1122.90 ,0
14.07 ,3.92 ,2.67 ,20.75 ,106.58 ,1.48 ,1.11 ,-0.05 ,1.02 ,4.62 ,0.86 ,1.13 ,631.89 ,2
14.36 ,0.94 ,1.72 ,16.28 ,95.42 ,2.29 ,1.84 ,-0.02 ,0.72 ,3.65 ,1.38 ,2.77 ,667.25 ,1
14.23 ,1.55 ,2.49 ,24.29 ,81.71 ,1.82 ,2.25 ,0.48 ,0.97 ,4.06 ,0.89 ,2.94 ,445.71 ,1
12.69 ,1.47 ,2.25 ,16.15 ,97.08 ,2.68 ,3.09 ,0.11 ,2.16 ,6.84 ,0.68 ,3.91 ,949.43 ,0
13.51 ,1.92 ,2.72 ,30.78 ,131.66 ,3.18 ,3.07 ,0.19 ,1.83 ,3.46 ,1.62 ,3.65 ,945.77 ,1
13.54 ,1.90 ,3.00 ,27.21 ,114.90 ,2.52 ,2.67 ,0.49 ,1.94 ,3.76 ,0.79 ,2.93 ,830.94 ,0
14.08 ,3.93 ,2.67 ,20.77 ,106.53 ,1.48 ,1.11 ,-0.05 ,1.02 ,4.66 ,0.86 ,1.14 ,638.36 ,2
12.45 ,0.96 ,2.51 ,19.75 ,105.66 ,2.76 ,3.12 ,0.52 ,2.21 ,4.43 ,1.66 ,2.16 ,674.28 ,1
13.49 ,1.05 ,2.25 ,14.98 ,140.60 ,2.28 ,1.83 ,0.43 ,2.72 ,3.28 ,1.50 ,2.67 ,807.32 ,1
13.12 ,2.63 ,2.94 ,27.45 ,96.22 ,2.10 ,0.29 ,0.39 ,1.21 ,7.96 ,0.64 ,1.82 ,897.82 ,2
11.28 ,1.95 ,1.94 ,21.16 ,89.17 ,2.32 ,1.61 ,0.29 ,1.45 ,2.59 ,0.75 ,2.59 ,408.47 ,1
12.33 ,3.61 ,2.24 ,20.54 ,87.07 ,2.06 ,1.60 ,0.58 ,2.03 ,1.30 ,0.76 ,3.04 ,521.89 ,1
13.65 ,1.54 ,2.49 ,16.72 ,110.85 ,3.40 ,3.04 ,0.46 ,1.82 ,6.70 ,0.99 ,2.48 ,1323.60 ,0
13.15 ,0.86 ,2.08 ,16.13 ,91.00 ,2.00 ,0.34 ,0.29 ,1.67 ,4.95 ,0.65 ,1.93 ,605.54 ,2
11.89 ,1.53 ,2.04 ,16.58 ,99.67 ,1.51 ,1.82 ,0.20 ,0.93 ,4.15 ,1.07 ,2.33 ,390.68 ,1
13.70 ,4.31 ,2.64 ,20.13 ,78.11 ,1.78 ,0.54 ,0.23 ,0.97 ,7.28 ,0.67 ,1.82 ,610.24 ,2
13.06 ,1.09 ,1.11 ,10.18 ,91.00 ,2.22 ,0.55 ,0.21 ,0.44 ,1.78 ,0.75 ,1.72 ,551.75 ,1
11.92 ,1.54 ,2.03 ,16.63 ,99.69 ,1.50 ,1.85 ,0.20 ,0.92 ,4.11 ,1.07 ,2.32 ,389.73 ,1
13.88 ,3.24 ,2.67 ,23.94 ,105.44 ,2.27 ,0.47 ,0.33 ,0.72 ,4.83 ,1.14 ,2.31 ,619.49 ,2
13.02 ,1.72 ,2.86 ,15.94 ,131.39 ,2.69 ,2.70 ,0.43 ,2.01 ,5.67 ,1.28 ,4.19 ,1092.08 ,0
13.27 ,1.94 ,2.96 ,22.03 ,99.44 ,2.48 ,2.38 ,0.40 ,1.47 ,4.13 ,1.33 ,3.80 ,843.34 ,0
13.21 ,4.34 ,2.05 ,22.39 ,87.86 ,1.47 ,0.13 ,0.74 ,1.37 ,7.74 ,0.55 ,2.00 ,514.13 ,2
12.92 ,5.04 ,2.17 ,18.39 ,93.85 ,2.22 ,0.61 ,0.45 ,1.10 ,5.04 ,1.07 ,1.74 ,531.31 ,2
13.42 ,1.99 ,2.37 ,14.42 ,88.83 ,2.70 ,2.95 ,0.55 ,2.06 ,5.03 ,1.45 ,3.04 ,1317.71 ,0
14.46 ,4.55 ,2.29 ,19.88 ,72.20 ,0.91 ,0.61 ,0.35 ,0.58 ,5.11 ,0.64 ,1.49 ,443.50 ,2
11.90 ,1.53 ,2.03 ,16.62 ,100.04 ,1.51 ,1.83 ,0.20 ,0.93 ,4.16 ,1.07 ,2.34 ,386.22 ,1
14.77 ,1.38 ,2.00 ,15.92 ,115.91 ,3.26 ,3.86 ,0.30 ,1.68 ,8.56 ,0.78 ,2.92 ,1625.92 ,0
13.21 ,2.19 ,2.62 ,13.52 ,94.38 ,3.26 ,3.55 ,-0.02 ,2.03 ,5.63 ,0.87 ,3.44 ,1018.09 ,0
13.36 ,1.34 ,2.00 ,19.67 ,81.14 ,1.70 ,1.52 ,0.52 ,1.48 ,2.54 ,1.17 ,2.56 ,579.83 ,1
12.00 ,0.76 ,1.54 ,16.92 ,157.99 ,1.70 ,1.49 ,-0.15 ,2.49 ,2.48 ,1.20 ,3.17 ,699.35 ,1
10.89 ,1.62 ,2.39 ,26.13 ,81.73 ,1.88 ,2.72 ,0.16 ,1.83 ,2.52 ,0.89 ,2.80 ,327.15 ,1
12.69 ,4.02 ,2.38 ,23.31 ,87.67 ,2.42 ,0.51 ,0.72 ,1.23 ,9.65 ,0.19 ,1.47 ,514.57 ,2
12.75 ,3.51 ,2.27 ,21.77 ,105.04 ,1.57 ,1.18 ,0.77 ,0.95 ,10.16 ,0.81 ,1.55 ,639.63 ,2
12.14 ,3.90 ,2.46 ,19.68 ,121.74 ,1.16 ,1.50 ,-0.03 ,0.91 ,9.08 ,0.47 ,0.97 ,496.43 ,2
12.44 ,0.96 ,2.51 ,19.70 ,105.77 ,2.75 ,3.11 ,0.51 ,2.21 ,4.44 ,1.66 ,2.15 ,672.04 ,1
12.36 ,1.52 ,2.35 ,14.86 ,80.13 ,2.14 ,2.36 ,-0.06 ,1.76 ,2.95 ,1.11 ,2.74 ,424.12 ,1
11.72 ,1.78 ,2.19 ,17.81 ,106.30 ,1.87 ,2.19 ,0.53 ,1.62 ,3.17 ,1.41 ,2.50 ,711.26 ,1
12.88 ,5.09 ,2.00 ,19.05 ,88.09 ,1.42 ,0.61 ,0.54 ,0.73 ,4.49 ,0.51 ,1.35 ,700.85 ,2
12.87 ,5.32 ,2.85 ,22.05 ,99.21 ,1.58 ,0.42 ,0.44 ,1.05 ,8.09 ,1.15 ,1.87 ,715.95 ,2
13.19 ,2.84 ,2.25 ,23.31 ,81.22 ,1.22 ,0.43 ,0.60 ,1.12 ,10.15 ,0.75 ,1.60 ,626.20 ,2
14.02 ,1.54 ,2.53 ,14.06 ,117.33 ,2.21 ,2.52 ,0.32 ,1.08 ,4.02 ,0.91 ,2.74 ,880.79 ,0
10.73 ,2.11 ,3.39 ,25.88 ,126.64 ,3.22 ,5.75 ,0.53 ,1.66 ,5.54 ,0.86 ,3.48 ,451.12 ,1
13.27 ,3.24 ,2.30 ,19.27 ,89.14 ,1.57 ,0.15 ,0.55 ,0.83 ,6.05 ,0.60 ,2.22 ,610.18 ,2
14.42 ,2.07 ,2.30 ,16.87 ,119.08 ,2.90 ,3.25 ,0.37 ,1.67 ,6.40 ,0.82 ,2.99 ,1506.66 ,0
12.03 ,4.84 ,2.59 ,27.57 ,105.35 ,2.27 ,2.07 ,0.23 ,1.55 ,1.95 ,1.18 ,3.62 ,328.50 ,1
14.29 ,4.13 ,2.08 ,16.22 ,103.21 ,2.89 ,2.41 ,0.55 ,1.85 ,4.25 ,0.97 ,3.09 ,618.30 ,0
12.93 ,5.05 ,2.17 ,18.36 ,94.13 ,2.22 ,0.61 ,0.45 ,1.11 ,5.02 ,1.06 ,1.73 ,532.85 ,2
13.23 ,1.76 ,2.38 ,13.23 ,104.07 ,2.40 ,2.55 ,0.24 ,2.14 ,5.04 ,0.96 ,3.66 ,1231.08 ,0
12.51 ,1.43 ,2.27 ,14.09 ,149.09 ,2.10 ,2.35 ,0.45 ,2.58 ,3.35 ,0.97 ,2.17 ,753.59 ,1
14.35 ,1.85 ,2.72 ,16.26 ,109.01 ,3.23 ,3.59 ,0.22 ,1.31 ,5.41 ,0.66 ,3.60 ,1064.50 ,0
13.01 ,1.80 ,2.19 ,19.79 ,81.27 ,2.06 ,1.38 ,0.88 ,1.82 ,2.15 ,1.08 ,2.61 ,461.64 ,1
11.89 ,2.11 ,2.64 ,17.42 ,86.18 ,2.02 ,1.38 ,0.42 ,1.64 ,3.00 ,1.25 ,2.41 ,458.64 ,1
12.87 ,2.64 ,1.45 ,19.81 ,90.77 ,2.51 ,2.77 ,0.62 ,1.52 ,3.07 ,0.70 ,3.15 ,360.24 ,1
14.66 ,4.28 ,2.87 ,18.87 ,85.24 ,1.65 ,0.89 ,0.30 ,1.83 ,8.46 ,0.24 ,1.92 ,445.25 ,2
13.30 ,2.28 ,2.40 ,18.67 ,127.46 ,3.11 ,1.88 ,0.24 ,1.05 ,4.77 ,0.82 ,3.36 ,1182.46 ,0
14.41 ,2.01 ,2.80 ,18.20 ,115.18 ,2.83 ,2.10 ,0.38 ,1.82 ,4.17 ,1.29 ,2.98 ,1032.56 ,0
13.82 ,1.38 ,2.04 ,16.13 ,128.21 ,2.29 ,2.75 ,0.09 ,1.42 ,6.09 ,0.85 ,3.61 ,1080.14 ,0
11.68 ,0.74 ,1.83 ,9.85 ,90.36 ,2.10 ,0.60 ,0.24 ,0.44 ,1.91 ,0.82 ,1.94 ,485.70 ,1
13.27 ,1.85 ,2.89 ,24.60 ,90.08 ,1.79 ,1.59 ,0.68 ,1.85 ,2.99 ,1.68 ,2.04 ,458.67 ,1
14.43 ,1.69 ,2.23 ,11.10 ,101.34 ,2.94 ,2.36 ,0.03 ,1.56 ,4.46 ,1.16 ,3.36 ,1107.71 ,0
11.00 ,2.85 ,3.41 ,19.13 ,112.14 ,2.16 ,2.23 ,0.53 ,0.78 ,4.08 ,1.76 ,2.34 ,590.92 ,1
11.86 ,3.51 ,2.23 ,19.44 ,87.98 ,1.47 ,0.66 ,0.44 ,0.83 ,9.52 ,0.82 ,1.68 ,657.68 ,2
12.02 ,4.85 ,2.59 ,27.54 ,105.14 ,2.26 ,2.11 ,0.23 ,1.55 ,2.00 ,1.17 ,3.61 ,332.23 ,1
13.07 ,3.49 ,2.27 ,20.15 ,79.21 ,2.20 ,1.95 ,0.35 ,1.71 ,1.02 ,1.01 ,3.03 ,614.69 ,1
13.26 ,1.99 ,2.27 ,22.06 ,111.85 ,2.15 ,2.05 ,0.43 ,1.57 ,2.15 ,1.29 ,3.31 ,369.92 ,1
10.46 ,2.03 ,3.18 ,20.01 ,78.67 ,1.86 ,1.36 ,0.63 ,1.37 ,3.10 ,1.02 ,3.21 ,719.69 ,1
15.08 ,1.53 ,2.30 ,24.29 ,103.60 ,2.91 ,1.45 ,0.54 ,2.43 ,12.32 ,0.85 ,1.68 ,649.30 ,2
12.22 ,2.02 ,1.84 ,15.20 ,94.91 ,1.77 ,1.37 ,0.35 ,1.37 ,3.65 ,1.52 ,2.33 ,458.24 ,1
14.43 ,2.07 ,2.30 ,16.88 ,118.80 ,2.88 ,3.24 ,0.37 ,1.67 ,6.42 ,0.82 ,2.98 ,1512.98 ,0
14.35 ,1.55 ,2.20 ,14.64 ,114.54 ,4.08 ,3.59 ,0.25 ,1.67 ,7.36 ,1.18 ,2.99 ,1215.85 ,0
12.91 ,2.16 ,3.08 ,25.66 ,120.63 ,2.83 ,2.15 ,0.63 ,2.04 ,3.34 ,1.40 ,2.90 ,878.14 ,0
13.49 ,2.73 ,2.73 ,22.38 ,115.55 ,1.66 ,0.86 ,0.10 ,1.94 ,7.71 ,1.23 ,1.76 ,693.45 ,2
12.92 ,1.69 ,2.40 ,14.89 ,115.85 ,2.76 ,3.05 ,0.19 ,2.03 ,5.41 ,0.78 ,3.64 ,990.12 ,0
12.16 ,2.37 ,1.92 ,20.46 ,91.50 ,1.68 ,0.85 ,0.81 ,0.82 ,7.36 ,0.51 ,1.43 ,758.51 ,2
13.23 ,1.61 ,2.90 ,18.10 ,123.12 ,3.13 ,2.53 ,0.37 ,1.54 ,6.95 ,1.50 ,3.11 ,1473.74 ,0
15.57 ,1.95 ,2.47 ,20.93 ,108.58 ,3.07 ,3.04 ,0.49 ,1.97 ,5.96 ,1.27 ,2.55 ,1253.16 ,0
13.83 ,1.38 ,2.04 ,16.09 ,128.56 ,2.29 ,2.77 ,0.09 ,1.43 ,6.11 ,0.85 ,3.62 ,1071.82 ,0
10.74 ,0.81 ,2.58 ,21.47 ,75.02 ,2.03 ,1.49 ,-0.05 ,1.32 ,2.19 ,1.30 ,2.75 ,671.75 ,1
13.40 ,1.63 ,1.72 ,24.42 ,97.50 ,1.55 ,1.17 ,0.47 ,1.64 ,2.21 ,1.23 ,2.62 ,508.49 ,1
10.89 ,1.26 ,1.81 ,17.15 ,76.27 ,1.61 ,2.16 ,0.70 ,1.78 ,3.48 ,0.97 ,3.26 ,485.42 ,1
13.39 ,1.44 ,2.98 ,23.95 ,79.91 ,2.96 ,2.68 ,0.34 ,2.00 ,3.67 ,1.57 ,3.42 ,438.37 ,1
14.22 ,2.10 ,2.48 ,17.63 ,110.02 ,3.17 ,3.06 ,0.29 ,2.62 ,6.59 ,0.96 ,2.84 ,1147.52 ,0
13.77 ,5.12 ,2.42 ,21.39 ,84.14 ,2.46 ,2.57 ,0.07 ,2.40 ,2.50 ,0.82 ,3.04 ,372.48 ,1
13.05 ,1.82 ,2.19 ,19.70 ,81.55 ,2.06 ,1.40 ,0.88 ,1.82 ,2.15 ,1.08 ,2.63 ,459.94 ,1
12.15 ,4.01 ,1.66 ,18.23 ,109.78 ,2.87 ,2.72 ,0.11 ,3.03 ,3.26 ,0.22 ,2.89 ,571.15 ,1
12.33 ,1.49 ,2.03 ,21.08 ,83.61 ,1.51 ,2.10 ,0.46 ,1.52 ,3.62 ,1.03 ,3.00 ,508.06 ,1
11.78 ,4.57 ,1.98 ,17.92 ,121.25 ,1.32 ,0.37 ,0.18 ,1.15 ,8.40 ,0.81 ,2.02 ,886.02 ,2
14.46 ,4.55 ,2.28 ,19.92 ,72.46 ,0.91 ,0.62 ,0.35 ,0.58 ,5.11 ,0.65 ,1.48 ,448.37 ,2
13.03 ,2.53 ,2.10 ,18.45 ,114.72 ,1.53 ,0.68 ,0.36 ,1.41 ,8.45 ,0.47 ,1.68 ,873.94 ,2
11.97 ,3.89 ,2.35 ,19.65 ,99.33 ,2.33 ,2.38 ,0.24 ,2.08 ,4.59 ,1.18 ,3.52 ,766.34 ,0
14.25 ,1.57 ,2.49 ,24.28 ,81.84 ,1.82 ,2.24 ,0.48 ,0.98 ,4.04 ,0.89 ,2.94 ,446.84 ,1
12.30 ,1.85 ,2.48 ,19.91 ,76.02 ,1.46 ,1.18 ,0.39 ,2.17 ,2.52 ,1.26 ,2.18 ,455.15 ,1
14.86 ,3.42 ,2.00 ,15.25 ,94.32 ,3.34 ,3.30 ,0.58 ,2.61 ,4.72 ,1.07 ,3.12 ,1078.31 ,0
